//X,Y,Z,Rf,Gf,Bf,Point Source ID,Scan Angle Rank,Flightline Edge,Scan Direction,Number of Returns,Return Number,Time,Intensity,Classification
315806.15405273,234925.96923828,7.44399977,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.481915,342.000000,4.000000
315806.07995605,234926.07714844,7.63399982,1,0,1,10.000000,-22.000000,0.000000,1.000000,3.000000,3.000000,391588.491314,68.000000,4.000000
315806.11401367,234926.11718750,7.37900019,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.491314,448.000000,4.000000
315806.11499023,234926.12207031,7.00500011,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.491314,375.000000,4.000000
315806.11499023,234926.12597656,6.65199995,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.491314,416.000000,4.000000
315806.10998535,234926.12500000,6.26599979,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.491314,364.000000,4.000000
315806.10705566,234926.12500000,5.87799978,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.491314,399.000000,4.000000
315806.15197754,234926.17919922,5.63999987,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.491314,383.000000,4.000000
315806.05004883,234926.35107422,7.48000002,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.500653,320.000000,4.000000
315806.06201172,234926.36718750,7.17100000,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.500653,174.000000,4.000000
315806.05700684,234926.36621094,6.77400017,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.500653,388.000000,4.000000
315806.05395508,234926.36816406,6.40899992,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.500714,399.000000,4.000000
315806.04504395,234926.36181641,5.98899984,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.500714,546.000000,4.000000
315806.07202148,234926.39599609,5.70499992,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.500714,388.000000,2.000000
315805.91894531,234926.48193359,7.57399988,1,0,1,10.000000,-22.000000,0.000000,1.000000,3.000000,3.000000,391588.510052,22.000000,4.000000
315805.98596191,234926.55908203,7.44399977,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.510052,452.000000,4.000000
315805.98901367,234926.56689453,7.07299995,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.510052,411.000000,4.000000
315805.98498535,234926.56689453,6.70200014,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.510052,398.000000,4.000000
315805.98303223,234926.56884766,6.33300018,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.510052,432.000000,4.000000
315805.97094727,234926.56005859,5.91800022,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.510052,558.000000,4.000000
315806.01794434,234926.61523438,5.67299986,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.510052,433.000000,4.000000
315805.90002441,234926.71679688,7.53700018,1,0,1,10.000000,-22.000000,0.000000,1.000000,2.000000,2.000000,391588.519452,159.000000,4.000000
315805.89294434,234926.71386719,7.11800003,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.519452,345.000000,4.000000
315805.89196777,234926.71679688,6.76100016,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.519452,293.000000,4.000000
315805.89294434,234926.72216797,6.38800001,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.519452,289.000000,4.000000
315805.88098145,234926.71289063,5.98699999,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.519452,275.000000,4.000000
315805.91198730,234926.75097656,5.70599985,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.519452,307.000000,2.000000
315805.44396973,234927.40917969,5.62500000,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.556927,346.000000,2.000000
315805.40100098,234927.59082031,5.61000013,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.566327,358.000000,2.000000
315805.12902832,234928.45507813,5.62300014,1,0,1,10.000000,-22.000000,0.000000,1.000000,1.000000,1.000000,391588.603802,325.000000,2.000000
