//X,Y,Z,Rf,Gf,Bf,Point Source ID,Scan Angle Rank,Flightline Edge,Scan Direction,Number of Returns,Return Number,Time,Intensity,Classification
315790.42700195,234931.83886719,21.85300064,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.212933,104.000000,2.000000
315790.52294922,234931.94824219,21.84900093,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.212933,109.000000,2.000000
315790.62304688,234932.06298828,21.83900070,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.212933,126.000000,2.000000
315790.72204590,234932.17480469,21.83699989,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.212933,111.000000,2.000000
315790.81701660,234932.28320313,21.83300018,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.212933,95.000000,2.000000
315790.91394043,234932.39306641,21.82500076,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.212933,112.000000,2.000000
315791.01599121,234932.50878906,21.83099937,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.212933,115.000000,2.000000
315791.12597656,234932.63183594,21.83600044,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.212933,100.000000,2.000000
315791.22094727,234932.74023438,21.83200073,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.212933,148.000000,2.000000
315791.34997559,234932.88378906,21.90800095,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.212933,151.000000,2.000000
315791.16101074,234931.96191406,22.01600075,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.194195,172.000000,2.000000
315791.21496582,234932.02783203,21.84900093,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.194195,140.000000,2.000000
315791.31799316,234932.14501953,21.85300064,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.194195,112.000000,2.000000
315791.41796875,234932.25878906,21.85499954,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.194195,133.000000,2.000000
315790.02001953,234931.68994141,21.88400078,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222271,98.000000,2.000000
315790.11206055,234931.79492188,21.86000061,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222271,96.000000,2.000000
315790.21594238,234931.91210938,21.85600090,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222271,103.000000,2.000000
315790.32104492,234932.03076172,21.84499931,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222271,103.000000,2.000000
315790.41601563,234932.13916016,21.85400009,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222271,118.000000,2.000000
315790.51904297,234932.25585938,21.83900070,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222271,97.000000,2.000000
315790.61401367,234932.36376953,21.83499908,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222271,116.000000,2.000000
315790.71594238,234932.47900391,21.84099960,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222332,132.000000,2.000000
315790.81201172,234932.58789063,21.84900093,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222332,124.000000,2.000000
315790.91601563,234932.70605469,21.84399986,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222332,97.000000,2.000000
315791.01904297,234932.82324219,21.83799934,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222332,117.000000,2.000000
315791.12304688,234932.93994141,21.84399986,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222332,146.000000,2.000000
315791.23303223,234933.06396484,21.87599945,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.222332,94.000000,2.000000
315790.82397461,234931.93896484,21.85000038,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.203534,110.000000,2.000000
315790.91894531,234932.04687500,21.84700012,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.203534,157.000000,2.000000
315791.01599121,234932.15820313,21.84099960,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.203534,132.000000,2.000000
315791.11596680,234932.27197266,21.83499908,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.203534,123.000000,2.000000
315791.22497559,234932.39501953,21.84000015,0,0.333333,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.203534,135.000000,2.000000
