//X,Y,Z,Rf,Gf,Bf,Point Source ID,Scan Angle Rank,Flightline Edge,Scan Direction,Number of Returns,Return Number,Time,Intensity,Classification
315792.41601563,234930.63183594,24.10199928,1,0,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.119183,90.000000,4.000000
315792.27404785,234930.49121094,23.34199905,1,0,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.119183,42.000000,4.000000
315792.26904297,234930.49511719,22.98100090,1,0,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.119183,51.000000,4.000000
315792.81799316,234930.59912109,24.14900017,1,0,1,21.000000,-14.000000,0.000000,1.000000,2.000000,1.000000,394522.378888,27.000000,4.000000
315792.75695801,234930.72021484,24.08600044,1,0,1,21.000000,-14.000000,0.000000,1.000000,1.000000,1.000000,394522.378888,107.000000,4.000000
315792.77600098,234930.69824219,23.37700081,1,0,1,21.000000,-14.000000,0.000000,1.000000,1.000000,1.000000,394522.378888,30.000000,4.000000
315792.60095215,234930.66210938,24.19799995,1,0,1,21.000000,-14.000000,0.000000,1.000000,2.000000,1.000000,394522.388409,11.000000,4.000000
315792.54394531,234930.77587891,24.14100075,1,0,1,21.000000,-14.000000,0.000000,1.000000,2.000000,1.000000,394522.388409,251.000000,4.000000
315792.53796387,234930.79882813,23.65900040,1,0,1,21.000000,-14.000000,0.000000,1.000000,1.000000,1.000000,394522.388409,21.000000,4.000000
315792.83703613,234930.45898438,24.10499954,1,0,1,22.000000,5.000000,0.000000,1.000000,2.000000,1.000000,394839.132061,65.000000,4.000000
315792.80505371,234930.45507813,24.07200050,1,0,1,22.000000,5.000000,0.000000,1.000000,2.000000,1.000000,394839.141339,107.000000,4.000000
315792.74499512,234930.56689453,24.11599922,1,0,1,22.000000,5.000000,0.000000,1.000000,2.000000,1.000000,394839.141339,95.000000,4.000000
315792.62805176,234930.48193359,24.18899918,1,0,1,22.000000,5.000000,0.000000,1.000000,2.000000,1.000000,394839.150616,20.000000,4.000000
315792.62500000,234930.58203125,23.18899918,1,0,1,22.000000,5.000000,0.000000,1.000000,2.000000,2.000000,394839.150616,379.000000,4.000000
315792.56701660,234930.60595703,24.10600090,1,0,1,22.000000,5.000000,0.000000,1.000000,2.000000,1.000000,394839.150616,385.000000,4.000000
315792.49902344,234930.73681641,24.12000084,1,0,1,22.000000,5.000000,0.000000,1.000000,2.000000,1.000000,394839.150616,24.000000,4.000000
315792.59301758,234930.56689453,23.21299934,1,0,1,22.000000,5.000000,0.000000,1.000000,1.000000,1.000000,394839.160382,385.000000,4.000000
315792.52795410,234930.60595703,24.12199974,1,0,1,22.000000,5.000000,0.000000,1.000000,1.000000,1.000000,394839.160382,318.000000,4.000000
315792.46594238,234930.72119141,24.17799950,1,0,1,22.000000,5.000000,0.000000,1.000000,2.000000,1.000000,394839.160382,115.000000,4.000000
315792.49804688,234930.61718750,23.12199974,1,0,1,23.000000,22.000000,0.000000,1.000000,2.000000,2.000000,395103.217022,278.000000,4.000000
315792.45800781,234930.69287109,23.25000000,1,0,1,23.000000,22.000000,0.000000,1.000000,2.000000,2.000000,395103.217022,151.000000,4.000000
315792.36401367,234930.26904297,23.41900063,1,0,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.109784,36.000000,4.000000
315792.36096191,234930.27490234,23.05999947,1,0,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.109784,38.000000,4.000000
315792.37500000,234930.06884766,23.40399933,1,0,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.100445,109.000000,4.000000
315792.36694336,234930.06982422,23.05500031,1,0,1,10.000000,-24.000000,0.000000,1.000000,1.000000,1.000000,391589.100445,119.000000,4.000000
