//X,Y,Z,Rf,Gf,Bf,Point Source ID,Scan Angle Rank,Flightline Edge,Scan Direction,Number of Returns,Return Number,Time,Intensity,Classification
315800.81005859,234945.63378906,18.19000053,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.269513,303.000000,4.000000
315800.80297852,234945.91992188,18.13800049,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.278851,502.000000,4.000000
315800.74804688,234946.21777344,18.09300041,0,1,1,10.000000,-21.000000,0.000000,1.000000,2.000000,1.000000,391589.288250,97.000000,4.000000
315800.52404785,234946.00000000,16.91300011,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.288250,433.000000,4.000000
315800.55200195,234946.06298828,15.88099957,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.288250,716.000000,4.000000
315800.65002441,234946.17382813,15.87500000,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.288250,708.000000,4.000000
315800.70397949,234946.24121094,15.69999981,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.288250,529.000000,4.000000
315800.82299805,234945.65722656,17.89200020,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.269513,318.000000,4.000000
315800.83105469,234945.67578125,17.55800056,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.269513,360.000000,4.000000
315800.83300781,234945.68798828,17.22699928,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.269513,462.000000,4.000000
315800.84301758,234945.70996094,16.87100029,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.269513,504.000000,4.000000
315800.84899902,234945.72802734,16.51499939,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.269513,490.000000,4.000000
315800.85302734,234945.74316406,16.16799927,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.269513,573.000000,4.000000
315800.84899902,234945.75000000,15.77999973,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.269513,603.000000,4.000000
315800.65905762,234946.45507813,18.12599945,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.297650,321.000000,2.000000
315800.46203613,234946.26611328,17.01899910,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.297650,260.000000,2.000000
315800.45300293,234946.26806641,16.60799980,0,1,1,10.000000,-21.000000,0.000000,1.000000,2.000000,1.000000,391589.297650,122.000000,4.000000
315800.45898438,234946.29687500,15.88799953,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.297650,656.000000,2.000000
315800.56201172,234946.41406250,15.88899994,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.297650,586.000000,2.000000
315800.64001465,234946.50390625,15.81400013,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.297650,566.000000,2.000000
315800.78601074,234945.91406250,17.73500061,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.278851,540.000000,4.000000
315800.78198242,234945.91992188,17.35499954,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.278851,464.000000,4.000000
315800.77697754,234945.92675781,16.95599937,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.278851,546.000000,4.000000
315800.76501465,234945.92578125,16.52300072,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.278851,464.000000,4.000000
315800.75305176,234945.92382813,16.13400078,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.278851,560.000000,4.000000
315800.78100586,234945.96484375,15.84399986,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.278851,686.000000,4.000000
315800.58398438,234946.74707031,18.11599922,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.306988,416.000000,2.000000
315800.38098145,234946.55322266,16.99500084,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.306988,324.000000,2.000000
315800.37805176,234946.56103516,16.60499954,0,1,1,10.000000,-21.000000,0.000000,1.000000,2.000000,1.000000,391589.306988,121.000000,4.000000
315800.38403320,234946.58984375,15.88700008,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.306988,507.000000,2.000000
315800.48400879,234946.70312500,15.86800003,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.306988,600.000000,2.000000
315800.55895996,234946.78906250,15.80000019,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.306988,584.000000,2.000000
315800.54797363,234946.89697266,18.12500000,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.316388,302.000000,4.000000
315800.34301758,234946.70019531,17.01399994,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.316388,324.000000,4.000000
315800.57995605,234946.97412109,16.76799965,0,1,1,10.000000,-21.000000,0.000000,1.000000,2.000000,1.000000,391589.316388,8.000000,4.000000
315800.35095215,234946.74218750,15.90499973,0,1,1,10.000000,-21.000000,0.000000,1.000000,2.000000,2.000000,391589.316388,405.000000,4.000000
315800.45104980,234946.85498047,15.89900017,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.316388,590.000000,4.000000
315800.51501465,234946.93115234,15.78100014,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.316388,516.000000,4.000000
315800.42504883,234947.16601563,18.21699905,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.325726,519.000000,4.000000
315800.42797852,234947.18017578,17.85400009,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.325726,565.000000,4.000000
315800.41296387,234947.17675781,17.42300034,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.325726,526.000000,4.000000
315800.40600586,234947.18212891,17.01600075,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.325726,491.000000,4.000000
315800.39904785,234947.18603516,16.64200020,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.325787,422.000000,4.000000
315800.39599609,234947.19482422,16.22500038,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.325787,398.000000,4.000000
315800.38903809,234947.19921875,15.84700012,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.325787,439.000000,4.000000
315800.38195801,234947.20312500,15.46500015,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.325787,324.000000,4.000000
315800.32897949,234947.33300781,18.06900024,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.335125,264.000000,4.000000
315800.33203125,234947.34814453,17.71299934,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.335125,279.000000,4.000000
315800.32897949,234947.35595703,17.33600044,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.335125,299.000000,4.000000
315800.32897949,234947.36816406,16.94000053,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.335125,295.000000,4.000000
315800.32299805,234947.37207031,16.57099915,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.335125,300.000000,4.000000
315800.32604980,234947.38720703,16.17700005,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.335125,279.000000,4.000000
315800.32495117,234947.39697266,15.83300018,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.335125,279.000000,4.000000
315800.27001953,234947.56005859,18.06200027,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.344525,295.000000,4.000000
315800.26904297,234947.56884766,17.71199989,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.344525,270.000000,4.000000
315800.26904297,234947.58105469,17.31500053,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.344525,303.000000,4.000000
315800.26794434,234947.59179688,16.93400002,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.344525,309.000000,4.000000
315800.26599121,234947.60107422,16.56100082,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.344525,292.000000,4.000000
315800.26293945,234947.60986328,16.17700005,0,1,1,10.000000,-21.000000,0.000000,1.000000,1.000000,1.000000,391589.344525,289.000000,4.000000
